Title,Video URL,Video Duration,Views Number
"SLAYERBOUND! VOCÊ PRECISA TESTAR ESSE NOVO JOGO DE DEMON SLAYER DO ROBLOX!","https://www.youtube.com/watch?v=3X8c2MmA-A0&pp=ygULU2xheWVyYm91bmQ%3D","21.30","4346次观看"
"Jogando Pela Primeira Vez o SLAYERBOUND Um NOVO Jogo de Kimetsu no Yaiba do Roblox","https://www.youtube.com/watch?v=QxSzp1UVkM0&pp=ygULU2xheWVyYm91bmQ%3D","21.58","1万次观看"
"GUIA 𝐂𝐎𝐌𝐏𝐋𝐄𝐓𝐎 DE COMO UPAR RÁPIDO NO SLAYERBOUND DESCUBRA TUDO SOBRE O JOGO!","https://www.youtube.com/watch?v=boayqqByvEs&pp=ygULU2xheWVyYm91bmQ%3D","36.20","3.5万次观看"
"MINHA JORNADA ATÉ ME TORNAR O HASHIRA DAS CHAMAS NO SLAYERBOUND!","https://www.youtube.com/watch?v=8QHCM5-Tx9c&pp=ygULU2xheWVyYm91bmQ%3D","13.12","3719次观看"
"GUIA COMPLETO DE COMO JOGAR E UPAR NO SLAYERBOUND!","https://www.youtube.com/watch?v=9ZQSL9UEEJE&t=1s&pp=ygULU2xheWVyYm91bmQ%3D","13.40","1万次观看"
"SAIU! TESTANDO O NOVO JOGO DE DEMON SLAYER NO ROBLOX! (SLAYERBOUND)","https://www.youtube.com/watch?v=kXLdjYVDbmg&pp=ygULU2xheWVyYm91bmQ%3D","10.08","5931次观看"
"EU TESTEI TODAS AS RESPIRAÇÕES DO SLAYERBOUND! QUAL É A MELHOR?","https://www.youtube.com/watch?v=PlCv3Set2MY&pp=ygULU2xheWVyYm91bmQ%3D","10.36","6867次观看"
"[MEGA] SHOWCASE DE TODAS AS RESPIRAÇÕES E DEMON ART NO SLAYERBOUND! - ROBLOX","https://www.youtube.com/watch?v=ecRgzHnK1tU&pp=ygULU2xheWVyYm91bmQ%3D","17.52","7801次观看"
"𝐓𝐔𝐃𝐎 O QUE VOCÊ PRECISA SABER SOBRE O MEU JOGO DE DEMON SLAYER NO ROBLOX! [SLAYERBOUND]","https://www.youtube.com/watch?v=MV7AfNCpk9A&pp=ygULU2xheWVyYm91bmQ%3D","7.45","7047次观看"
"GUIA DE COMO VIRAR E JOGAR DE ONI NO SLAYERBOUND!","https://www.youtube.com/watch?v=yAhjHjw7m1o&pp=ygULU2xheWVyYm91bmQ%3D","9.27","6191次观看"
"SLAYERBOUND CODES 🟢[ROBLOX]🟢 [RELEASE] | *NEW* ALL WORKING 2026 CODES FOR ROBLOX SLAYERBOUND","https://www.youtube.com/watch?v=hKBEMyrze2E&pp=ygULU2xheWVyYm91bmQ%3D","1.10","1915次观看"
"*NEW CODES* [RELEASE] Slayerbound ROBLOX | ALL CODES | February 3, 2026","https://www.youtube.com/watch?v=rC0XG8-X1pw&pp=ygULU2xheWVyYm91bmQ%3D","3.34","504次观看"
"OK! ESSE NOVO JOGO DE DEMON SLAYER NO ROBLOX 𝗠𝗘 𝗜𝗠𝗣𝗥𝗘𝗦𝗦𝗜𝗢𝗡𝗢𝗨!! [SLAYERBOUND]","https://www.youtube.com/watch?v=apFADhrC458&pp=ygULU2xheWVyYm91bmQ%3D","17.48","1.6万次观看"
"Slayerbound Codes (February 2026) [RELEASE]","https://www.youtube.com/watch?v=Ng5-_B0HuUM&pp=ygULU2xheWVyYm91bmQ%3D","2.21","566次观看"
"MINHA JORNADA ATÉ PEGAR A RESPIRAÇÃO DA AGUA do TANJIRO KAMADO no SLAYERBOUND ( NOVO JOGO )","https://www.youtube.com/watch?v=fRRFYkxuChg&pp=ygULU2xheWVyYm91bmTSBwkJkQoBhyohjO8%3D","21.10","2774次观看"
"𝐒𝐀𝐈𝐔!! PRIMEIRA GAMEPLAY DO MEU NOVO JOGO DE DEMON SLAYER NO ROBLOX! SLAYERBOUND","https://www.youtube.com/watch?v=xIdWDmZI-DQ&pp=ygULU2xheWVyYm91bmTSBwkJkQoBhyohjO8%3D","23.56","6701次观看"
"BEST SKILL TREE IN ARC RAIDERS !SKILLTREE 9K KILLS BEST SOLO MOVEMENT KING PVP","https://www.youtube.com/watch?v=_vWI8mIN1P0&pp=ygULU2xheWVyYm91bmTSBwkJkQoBhyohjO8%3D","11.35:59","1.7万次观看"
"JOGANDO SLAYERBOUND - NOVO JOGO DE DEMON SLAYER NO ROBLOX #slayerbound","https://www.youtube.com/watch?v=9HMHO2AP7QU&pp=ygULU2xheWVyYm91bmQ%3D","4.19:00","668次观看"
"Por Trás do Slayerbound: O RPG Brasileiro de Demon Slayer no Roblox","https://www.youtube.com/watch?v=GNbmfj_2OG0&pp=ygULU2xheWVyYm91bmQ%3D","43.50","2367次观看"
"MINHA JORNADA ATÉ ME TORNAR O HASHIRA DO TROVÃO NO SLAYERBOUND!","https://www.youtube.com/watch?v=0b8V4fgazig&pp=ygULU2xheWVyYm91bmQ%3D","10.17","5135次观看"
"EXCRY PLAYTEST RELEASE!!","https://www.youtube.com/watch?v=uHg7YzHp9Wo&pp=ygULU2xheWVyYm91bmQ%3D","1.07:19","4714次观看"
"EVERYTHING You Need to Know in Slayer Bound! ( Actual Tips This Time I Promise )","https://www.youtube.com/watch?v=QVsY-bdujjM&pp=ygULU2xheWVyYm91bmQ%3D","14.35","1257次观看"
"My Experience On SlayerBound","https://www.youtube.com/watch?v=wRtjWgL4moU&pp=ygULU2xheWVyYm91bmTSBwkJkQoBhyohjO8%3D","15.04","1310次观看"
"JOGANDO SLAYERBOUND - NOVO JOGO DE DEMON SLAYER NO ROBLOX #slayerbound","https://www.youtube.com/watch?v=DcSV-8EctvE&pp=ygULU2xheWVyYm91bmQ%3D","3.35:07","457次观看"
"DERROTANDO UM BOSS E TENDO UMA RESPIRAÇÃO? (SLAYERBOUND)","https://www.youtube.com/watch?v=AghA_q6iYKM&pp=ygULU2xheWVyYm91bmQ%3D","2.45:50","8次观看"
"SORTEIO DE GAME PASS SLAYERBOUND & CONVERSANDO COM ADMS #slayerbound #roblox","https://www.youtube.com/watch?v=bGl-lBxmdqY&pp=ygULU2xheWVyYm91bmQ%3D","3.31:25","501次观看"
"Slayerbound noob ao pro ep 1","https://www.youtube.com/watch?v=u92FYZmA6Wg&pp=ygULU2xheWVyYm91bmQ%3D","51.14","28次观看"
"GUIA DO UPDATE DO ONIKAMI!!! FINALMENTE ATUALIZOU!? EXPLICAÇÃO DE TUDO QUE VEIO E OCORREU!!!","https://www.youtube.com/watch?v=j67NenHNo3E&pp=ygULU2xheWVyYm91bmQ%3D","13.20","4558次观看"
"How to Get Water Breathing in Slayer Bound (Roblox Guide)","https://www.youtube.com/watch?v=M_7czsdK3qQ&pp=ygULU2xheWVyYm91bmQ%3D","8.05","764次观看"
"*NEW* Best Sorcerer Ascent Script - No Key, Kill Aura, Auto Farm Mobs, Auto Dungeon And Many More","https://www.youtube.com/watch?v=HPVUQn4Awqg&pp=ygULU2xheWVyYm91bmQ%3D","1.02","1135次观看"
"THIS NEW DEMON SLAYER GAME IS PROJECT SLAYERS AND DEMONFALL COMBINDED!? (Slayer Bound)","https://www.youtube.com/watch?v=BAvJ07DUjyk&pp=ygULU2xheWVyYm91bmQ%3D","11.41","2534次观看"
"The new SUPREMACY...   I   Roblox Bloodlines","https://www.youtube.com/watch?v=pd1wE0vCmCI&pp=ygULU2xheWVyYm91bmQ%3D","7.09","3456次观看"
"Demon Slayer: Bound by Infinity || @Sk_Vins","https://www.youtube.com/watch?v=DJpksfnhBrI&pp=ygULU2xheWVyYm91bmQ%3D","0.09","无人观看"
"Reaper's Loop | Project slayers PVP","https://www.youtube.com/watch?v=2yZJMHyFdZw&pp=ygULU2xheWVyYm91bmQ%3D","4.07","1869次观看"
"This Demon Slayer game on Roblox is insane! (Slayer Bound)","https://www.youtube.com/watch?v=mBxW7VtRf1w&pp=ygULU2xheWVyYm91bmQ%3D","13.45","855次观看"
"💥*BINDING VOWS* ALL LATEST BINDING VOWS UPDATE CODES FOR KAIZEN! ROBLOX KAIZEN CODES","https://www.youtube.com/watch?v=JV2IyDCSdaE&pp=ygULU2xheWVyYm91bmQ%3D","1.09","3623次观看"
"Slayerbound Codes (2026) | Roblox","https://www.youtube.com/watch?v=yT5haq5bCU0&pp=ygULU2xheWVyYm91bmQ%3D","1.29","1004次观看"
"ESPERANDO O LANÇAMENTO DO SLAYERBOUND - NOVO JOGO DE DEMON SLAYER NO ROBLOX #slayerbound","https://www.youtube.com/watch?v=8S-PTq29bYA&pp=ygULU2xheWVyYm91bmQ%3D","4.06:26","2058次观看"
"Usual Flame qs | Demon Hunter","https://www.youtube.com/watch?v=G0wPlpOEJ5Q&pp=ygULU2xheWVyYm91bmQ%3D","4.26:37","973次观看"
"Slayerbound: O novo melhor jogo de Demon Slayer do Roblox? 🏮","https://www.youtube.com/watch?v=h00Bx8T-E00&pp=ygULU2xheWVyYm91bmQ%3D","2.11:17","34次观看"
"Novo jogo de kimetsu no yaiba no roblox, slayerbound","https://www.youtube.com/watch?v=WSRjsQP0jlU&pp=ygULU2xheWVyYm91bmQ%3D","22.51","30次观看"
